#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
0.004713,4,1,0,1656
0.000000,5,1,0,2450
0.000000,6,1,0,2773
4.629398,7,1,0,3600
8.655141,8,1,0,4366
1.879185,9,1,0,4118
1.084698,10,1,0,4633
3.794127,11,1,0,5137
5.312756,11,2,0,6469
1.482883,11,3,0,6904
1.755241,10,5,0,5791
2.873604,10,6,0,5920
4.392065,9,8,0,5334
1.793993,11,7,0,4347
5.341310,12,7,0,5291
3.893565,9,11,0,5044
1.636464,10,11,0,5268
5.024333,10,12,0,6323
4.592276,10,13,0,4988
5.290212,11,13,0,5113
6.526850,12,13,0,4802
4.114170,12,14,0,5533
5.014464,12,15,0,6314
6.008929,9,18,0,4563
4.549414,11,18,0,4486
8.382349,12,18,0,5467
4.446527,12,19,0,5428
7.065372,15,17,0,5217
3.641292,19,14,0,5782
2.519227,18,16,0,6352
7.205151,14,21,0,6602
10.660655,11,25,0,5794
7.096990,13,24,0,6259
5.753391,12,25,0,4776
10.770596,12,26,0,5651
4.387755,13,25,0,6280
12.030349,17,23,0,8199
10.963159,19,22,0,7783
14.338573,15,28,0,7694
11.978355,14,30,0,5484
12.876586,12,32,0,5701
7.723581,11,34,0,5153
12.061424,13,33,0,4908
6.648732,13,34,0,5135
7.601242,12,36,0,4506
8.398528,18,31,0,7183
11.004845,23,28,0,10234
5.986233,18,34,0,8018
16.298222,21,32,0,8323
19.800707,22,32,0,8516
7.518455,12,43,0,5127
8.809905,0,0,25687,0
20.924697,0,0,1336300672,0
8.683717,0,0,25687,0
