#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
2.115598,0.090228,1.532851,0.004713,0.004713,3.748850
5.464172,0.169965,6394.049164,0.000000,0.000000,6399.684924
5.382481,0.418519,0.005647,0.000000,0.000000,5.807207
2.539583,0.317730,144.254483,4.629398,4.629398,205.323307
2.490118,0.445633,328.776696,8.655141,8.655141,436.203084
8.676665,0.599936,240.641868,1.879185,1.879185,318.750354
5.502866,0.651451,436.048138,1.084698,1.084698,593.409410
7.684225,0.696540,438.315920,3.794127,3.794127,622.427616
8.217309,3.699180,495.769513,5.312756,5.312756,649.799283
2.746635,1.038693,633.033403,1.482883,1.482883,674.470886
7.498440,0.966168,688.140271,1.755241,1.755241,768.856037
10.922273,1.435264,774.330909,2.873604,2.873604,927.588056
6.538561,2.611527,846.305222,4.392065,4.392065,1074.437526
10.103012,5.114256,990.520380,1.793993,1.793993,1137.346069
6.961583,1.823694,662.779058,5.341310,5.341310,786.020540
5.468858,2.935233,859.879743,3.893565,3.893565,1061.872404
7.015700,8.429510,773.927553,1.636464,1.636464,888.615513
3.020908,2.288048,605.693550,5.024333,5.024333,678.706144
4.028604,4.102689,972.867859,4.592276,4.592276,1165.614034
11.812011,2.148151,1025.686699,5.290212,5.290212,1102.221276
7.797296,1.735809,961.391924,6.526850,6.526850,1107.519543
5.302658,3.575334,909.438857,4.114170,4.114170,1001.971608
8.583841,1.707027,884.200163,5.014464,5.014464,1054.143951
5.280248,4.932904,731.458126,6.008929,6.008929,863.038865
3.655576,1.147912,834.277886,4.549414,4.549414,991.914783
7.875650,1.544360,945.572225,8.382349,8.382349,1069.162730
7.571270,11.730304,1132.954392,4.446527,4.446527,1326.312151
7.851789,1.970586,871.450044,7.065372,7.065372,1064.823584
5.794272,8.406362,912.805332,3.641292,3.641292,1055.218137
14.214841,5.414451,708.820654,2.519227,2.519227,809.174111
5.895835,5.799048,802.976876,7.205151,7.205151,967.595045
4.686942,1.095554,556.458422,10.660655,10.660655,652.131405
17.421447,1.497149,901.689954,7.096990,7.096990,1038.146622
5.365454,4.385168,1322.912740,5.753391,5.753391,1482.447785
9.960372,4.906169,836.256984,10.770596,10.770596,1022.659740
6.535008,5.419785,937.448307,4.387755,4.387755,1132.415668
8.883733,1.718101,671.415334,12.030349,12.030349,889.615720
7.626275,0.884868,733.229573,10.963159,10.963159,983.483893
7.377994,1.523100,971.133635,14.338573,14.338573,1204.115605
11.405512,4.364311,1404.184093,11.978355,11.978355,1751.916921
10.451149,2.724812,894.963148,12.876586,12.876586,1047.930091
12.713200,4.004762,1481.745992,7.723581,7.723581,1702.335188
14.605149,6.923768,1170.819598,12.061424,12.061424,1426.317467
9.950865,1.598132,992.458253,6.648732,6.648732,1097.340737
7.056878,1.615455,1036.689136,7.601242,7.601242,1149.318873
16.268362,2.577626,1013.545624,8.398528,8.398528,1212.081189
8.790178,4.853282,926.897551,11.004845,11.004845,1160.456848
16.735745,8.650564,1253.915016,5.986233,5.986233,1550.097154
10.231959,2.502590,1161.577086,16.298222,16.298222,1346.784415
19.035256,5.825330,1760.986942,19.800707,19.800707,2167.174087
4.691858,4.780186,1370.836609,7.518455,7.518455,1554.550538
11.242314,1.811908,873.121399,8.809905,8.809905,1177.192196
7.352343,9.230953,1302.864709,20.924697,20.924697,1507.551648
9.897927,2.465799,1028.706022,8.683717,8.683717,1139.286817
